game_date,player_name,goal_min,penalty,own_goal
1922-09-23,Billy Rainford,,,0
1922-09-30,Billy Rainford,,,0
1922-09-30,Jabez Evans,,,0
1922-11-04,OG,,,1
1922-11-04,Jimmy Moreton,,,0
1922-11-11,Jabez Evans,,,0
1922-12-23,Bernard Sharkey,,,0
1922-12-23,Bob Thompson,,,0
1922-12-25,Fred Hayes,,,0
1923-01-06,James Robinson,,,0
1923-01-13,Jabez Evans,,,0
1923-01-13,Harold Hilton,,,0
1923-01-13,Sammy Beswick,,,0
1923-01-13,Johnny Campbell,,,0
1923-01-27,Jabez Evans,,,0
1923-01-27,George Crowther,,,0
1923-02-03,OG,,,1
1923-02-03,Sammy Beswick,,,0
1923-02-17,Bob Thompson,,,0
1923-02-24,Sammy Beswick,,,0
1923-03-03,George Crowther,,,0
1923-03-03,Sammy Beswick,,,0
1923-03-17,Stan Sayer,,,0
1923-03-24,Sammy Beswick,,,0
1923-03-24,Stan Sayer,,,0
1923-03-30,John Lomax,,,0
1923-03-30,Stan Sayer,,,0
1923-03-30,Sammy Beswick,,,0
1923-04-02,Stan Sayer,,,0
1923-04-02,Johnny Campbell,,,0
1923-04-07,John Lomax,,,0
1923-04-07,Stan Sayer,,,0
1923-04-14,Stan Sayer,,,0
1923-04-21,Stan Sayer,,,0
1923-04-21,Sammy Beswick,,,0
1923-04-21,Bob Thompson,,,0
1923-04-28,OG,,,1
1923-08-25,Johnny Campbell,,,0
1923-08-25,Stan Sayer,,,0
1923-09-06,Bert Cartman,,,0
1923-09-06,Stan Sayer,,,0
1923-09-08,Stan Sayer,,,0
1923-09-15,Sammy Beswick,,,0
1923-09-22,Stan Sayer,,,0
1923-09-22,Jack Brown,,,0
1923-09-29,Stan Sayer,,,0
1923-10-13,Stan Sayer,,,0
1923-10-20,Bert Cartman,,,0
1923-10-27,Stan Sayer,,,0
1923-11-03,Jack Brown,,,0
1923-11-10,Stan Sayer,,,0
1923-11-17,Harold Hilton,,,0
1923-12-01,Jack Brown,,,0
1923-12-06,Stan Sayer,,,0
1923-12-25,Stan Sayer,,,0
1923-12-25,Johnny Campbell,,,0
1923-12-26,Stan Sayer,,,0
1924-01-01,Bert Cartman,,,0
1924-01-01,Stan Sayer,,,0
1924-01-05,Fred Halstead,,,0
1924-01-12,Tom Stuart,,,0
1924-01-19,Sammy Beswick,,,0
1924-01-19,Johnny Campbell,,,0
1924-01-26,Tom Stuart,,,0
1924-02-02,Stan Sayer,,,0
1924-02-02,Johnny Campbell,,,0
1924-02-09,Jimmy Moreton,,,0
1924-02-16,Bert Cartman,,,0
1924-02-23,Harry Littlehales,,,0
1924-03-01,Stan Sayer,,,0
1924-03-08,Jimmy Moreton,,,0
1924-03-15,Harry Littlehales,,,0
1924-03-22,Stan Sayer,,,0
1924-03-29,Jack Brown,,,0
1924-03-29,OG,,,1
1924-03-29,Harry Littlehales,,,0
1924-04-12,Harry Littlehales,,,0
1924-04-12,Stan Sayer,,,0
1924-04-12,Jimmy Moreton,,,0
1924-04-18,Harry Littlehales,,,0
1924-04-18,Stan Sayer,,,0
1924-04-18,Jack Brown,,,0
1924-04-19,Jack Brown,,,0
1924-04-19,Harry Littlehales,,,0
1924-04-28,Jack Brown,,,0
1924-04-28,Bert Cartman,,,0
1924-08-30,Harry Littlehales,,,0
1924-08-30,Johnny Campbell,,,0
1924-09-06,Jack Brown,,,0
1924-09-20,Dixie Dean,,,0
1924-10-04,Dixie Dean,,,0
1924-10-04,Jimmy Moreton,,,0
1924-10-11,Dixie Dean,,,0
1924-10-18,Dixie Dean,,,0
