game_date,shirt_no,player_name,on_for,off_for
1970-04-24,12.0,Paul Crossley,10.0,
1970-04-24,10.0,Jimmy Hinch,,12.0
1970-09-02,7.0,Kenny Beamish,,12.0
1970-09-02,12.0,John Dempsey,7.0,
1970-09-09,11.0,Frank Gill,,12.0
1970-09-09,12.0,Malcolm Moore,11.0,
1970-09-12,7.0,Kenny Beamish,,12.0
1970-09-12,12.0,Malcolm Moore,7.0,
1970-09-18,10.0,Jimmy Hinch,,12.0
1970-09-18,12.0,Malcolm Moore,10.0,
1970-09-25,11.0,Frank Gill,,12.0
1970-09-25,12.0,John Dempsey,11.0,
1970-10-02,9.0,George Yardley,,12.0
1970-10-02,12.0,Trevor Storton,9.0,
1970-10-16,5.0,Tony Knapp,,12.0
1970-10-16,12.0,Paul Crossley,5.0,
1970-10-19,12.0,Paul Crossley,9.0,
1970-10-19,9.0,Malcolm Moore,,12.0
1970-10-24,9.0,Malcolm Moore,,12.0
1970-10-24,12.0,Ray Pointon,9.0,
1970-11-09,10.0,Jimmy Hinch,,12.0
1970-11-09,12.0,Trevor Storton,10.0,
1970-11-13,10.0,Jimmy Hinch,,12.0
1970-11-13,12.0,Paul Crossley,10.0,
1970-11-24,9.0,Malcolm Moore,,12.0
1970-11-24,12.0,George Yardley,9.0,
1970-11-28,9.0,Malcolm Moore,,12.0
1970-11-28,12.0,Graham Rowe,9.0,
1970-11-30,9.0,Malcolm Moore,,12.0
1970-11-30,12.0,George Yardley,9.0,
1970-12-19,12.0,Frank Gill,10.0,
1970-12-19,10.0,Jimmy Hinch,,12.0
1971-01-08,12.0,Jimmy Hinch,11.0,
1971-01-08,11.0,Frank Gill,,12.0
1971-01-16,9.0,Kenny Beamish,,12.0
1971-01-16,12.0,Frank Gill,9.0,
1971-02-01,5.0,Trevor Storton,,12.0
1971-02-01,12.0,Frank Gill,5.0,
1971-02-06,7.0,Kenny Beamish,,12.0
1971-02-06,12.0,Trevor Storton,7.0,
1971-03-05,6.0,John Dempsey,,12.0
1971-03-05,12.0,Eric Brodie,6.0,
1971-03-15,11.0,Eric Brodie,,12.0
1971-03-15,12.0,Trevor Storton,11.0,
1971-03-22,11.0,Malcolm Moore,,12.0
1971-03-22,12.0,Frank Gill,11.0,
1971-03-26,12.0,Malcolm Moore,9.0,
1971-03-26,9.0,Paul Crossley,,12.0
1971-04-24,12.0,Paul Crossley,10.0,
1971-04-24,10.0,Trevor Storton,,12.0
1971-04-26,11.0,Frank Gill,,12.0
1971-04-26,12.0,Paul Crossley,11.0,
1971-08-25,9.0,Malcolm Moore,,12.0
1971-08-25,12.0,Paul Crossley,9.0,
1971-10-02,11.0,Trevor Storton,,12.0
1971-10-02,12.0,Malcolm Moore,11.0,
1971-10-16,4.0,Dave Moorcroft,,12.0
1971-10-16,12.0,Trevor Storton,4.0,
1971-10-20,9.0,John Coyne,,12.0
1971-10-20,12.0,Eric Brodie,9.0,
