game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2015-09-22,Andy Mangan,1,90,1,0,0
2015-09-26,Andy Mangan,1,90,3,0,0
2015-10-03,Andy Mangan,1,28,0,0,0
2015-10-03,Jonathon Margetts,1,52,0,0,0
2015-10-03,Andy Mangan,2,80,0,1,0
2015-10-03,Jonathon Margetts,2,90,2,0,0
2015-10-06,Lois Maynard,1,25,0,0,0
2015-10-06,Andy Mangan,1,52,0,0,0
2015-10-10,Steven Jennings,1,79,0,0,0
2015-10-17,Gary Taylor-Fletcher,1,5,0,0,0
2015-10-17,James Norwood,1,22,0,0,0
2015-11-21,James Norwood,1,45,3,0,0
2015-11-21,James Norwood,2,90,3,1,0
2015-11-24,James Norwood,1,90,4,0,0
2015-12-05,Adam Mekki,1,3,0,0,0
2016-01-09,Adam Mekki,1,18,0,1,0
2016-01-09,Lois Maynard,1,90,0,0,0
2016-01-09,Jeff Hughes,1,90,2,0,0
2016-01-09,Jake Kirby,1,90,5,0,0
2016-01-23,Lee Vaughan,1,54,0,0,0
2016-01-30,Gary Taylor-Fletcher,1,37,0,0,0
2016-01-30,James Norwood,1,79,0,0,0
2016-02-06,James Norwood,1,63,0,1,0
2016-02-28,James Norwood,1,69,0,1,0
2016-03-05,James Norwood,1,27,0,1,0
2016-03-05,James Norwood,2,44,0,1,0
2016-03-05,Michael Higdon,1,53,0,0,0
2016-03-08,Robert Atkinson,1,35,0,0,1
2016-03-08,Jake Kirby,1,58,0,0,0
2016-03-19,Jay Harris,1,48,0,0,0
2016-03-25,James Norwood,1,38,0,1,0
2016-03-25,Jake Kirby,1,45,1,0,0
2016-03-25,Adam Mekki,1,87,0,0,0
2016-03-28,James Norwood,1,15,0,0,0
2016-03-28,James Norwood,2,90,3,0,0
2016-04-02,Lee Vaughan,1,18,0,0,0
2016-04-09,Michael Higdon,1,59,0,0,0
2016-04-16,James Norwood,1,78,0,1,0
2016-04-23,James Norwood,1,87,0,0,0
2016-04-30,Steven Jennings,1,24,0,0,0
2016-08-06,James Norwood,1,9,0,0,0
2016-08-06,James Norwood,2,44,0,0,0
2016-08-09,Andy Cook,1,40,0,0,0
2016-08-09,James Norwood,1,86,0,1,0
2016-08-13,Steven Jennings,1,24,0,0,0
2016-08-13,James Norwood,1,90,4,0,0
2016-08-16,Connor Jennings,1,33,0,0,0
2016-08-20,Andy Cook,1,40,0,0,0
2016-08-20,Steve McNulty,1,80,0,0,0
2016-08-27,Andy Cook,1,47,0,0,0
2016-08-29,James Norwood,1,40,0,0,0
2016-09-03,Andy Cook,1,37,0,0,0
2016-09-24,Andy Cook,1,33,0,0,0
2016-09-24,Andy Cook,2,49,0,0,0
2016-09-24,James Norwood,1,69,0,0,0
2016-10-08,Shwan Jalal,1,64,0,0,1
2016-10-08,Andy Cook,1,90,2,0,0
2016-11-12,Andy Cook,1,29,0,0,0
2016-11-12,Ben Tollitt,1,35,0,0,0
2016-11-19,Andy Cook,1,76,0,0,0
2016-11-22,Lois Maynard,1,5,0,0,0
2016-11-22,James Norwood,1,66,0,0,0
