type,timeElapsed,addedTime,penalty,ownGoal,displayTime,first,full,abbreviation,last,score,halfTime,fullTime,extraTime,shootout,aggregate,aggregateGoalsAway,team,team_name,date,home_goal,away_goal,home_score,away_score,trfc_score,opp_score
goal,69,0,False,False,69',Rhys,Rhys Norrington-Davies,Norrington-Davies,Norrington-Davies,3,1,3,,,,,awayTeam,Rochdale,2019-08-03T15:00:00+01:00,0,1,0,3,3,3
goal,89,0,False,True,89',Stephen,Stephen Dooley,Dooley,Dooley,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-08-03T15:00:00+01:00,1,0,1,3,1,3
goal,90,3,False,False,90'+3,Connor,Connor Jennings,Jennings,Jennings,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-08-03T15:00:00+01:00,1,0,2,3,2,3
goal,27,0,False,False,27',Ben,Ben Close,Close,Close,2,1,2,,,,,homeTeam,Portsmouth,2019-08-10T15:00:00+01:00,1,0,1,0,0,1
goal,75,0,False,False,75',Tom,Tom Naylor,Naylor,Naylor,2,1,2,,,,,homeTeam,Portsmouth,2019-08-10T15:00:00+01:00,1,0,2,0,0,2
goal,16,0,False,False,16',Alex,Alex Jakubiak,Jakubiak,Jakubiak,2,2,2,,,,,awayTeam,Gillingham,2019-09-07T15:00:00+01:00,0,1,0,1,1,1
goal,36,0,False,False,36',Alfie,Alfie Jones,Jones,Jones,2,2,2,,,,,awayTeam,Gillingham,2019-09-07T15:00:00+01:00,0,1,0,2,2,2
goal,67,0,False,False,67',Connor,Connor Jennings,Jennings,Jennings,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-07T15:00:00+01:00,1,0,1,2,1,2
goal,70,0,False,False,70',Paul,Paul Mullin,Mullin,Mullin,2,0,2,,,,,homeTeam,Tranmere Rovers,2019-09-07T15:00:00+01:00,1,0,2,2,2,2
goal,23,0,True,False,23',James,James Henry,Henry,Henry,3,1,3,,,,,homeTeam,Oxford United,2019-09-14T15:00:00+01:00,1,0,1,0,0,1
goal,70,0,False,False,70',Cameron,Cameron Brannagan,Brannagan,Brannagan,3,1,3,,,,,homeTeam,Oxford United,2019-09-14T15:00:00+01:00,1,0,2,0,0,2
goal,90,2,True,False,90'+2,James,James Henry,Henry,Henry,3,1,3,,,,,homeTeam,Oxford United,2019-09-14T15:00:00+01:00,1,0,3,0,0,3
