game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2015-02-24,Ryan Taylor,1,82,0,0,0
2015-02-24,Ryan Taylor,2,85,0,0,0
2015-02-28,Danny Holmes,1,9,0,0,1
2015-02-28,Troy Brown,1,61,0,0,0
2015-03-03,Paul Hayes,1,26,0,1,0
2015-03-03,Fred Onyedinma,1,40,0,0,0
2015-03-07,Jamie Cureton,1,40,0,0,0
2015-03-07,Ashley Hemmings,1,50,0,0,0
2015-03-07,Billy Bingham,1,54,0,0,0
2015-03-14,Ryan Cresswell,1,62,0,0,0
2015-03-17,Sullay Kaikai,1,63,0,0,0
2015-03-21,Damien McCrory,1,18,0,0,0
2015-03-21,Lucas Akins,1,22,0,0,0
2015-03-21,Abdenasser El Khayati,1,72,0,0,0
2015-03-21,Adam Dugdale,1,89,0,0,1
2015-03-28,Adebayo Akinfenwa,1,29,0,0,0
2015-04-03,Bira Dembélé,1,4,0,0,0
2015-04-03,Charlie Lee,1,78,0,0,0
2015-04-06,Cameron McGeehan,1,81,0,0,0
2015-04-11,Barry Corr,1,38,0,0,0
2015-04-14,Reggie Lambe,1,44,0,0,0
2015-04-18,Kemar Roofe,1,51,0,0,0
2015-04-18,Danny Rose,1,52,0,0,0
2015-04-18,Kemar Roofe,2,68,0,0,0
2015-04-25,Reuben Reid,1,7,0,1,0
2015-04-25,Tareiq Holmes-Dennis,1,37,0,0,0
2015-04-25,Lewis Alessandra,1,81,0,0,0
2015-05-02,Tom Soares,1,61,0,0,0
2015-08-11,Jon Shaw,1,45,2,0,0
2015-08-22,Graeme Montgomery,1,58,0,0,0
2015-08-22,Harry Crawford,1,90,2,0,0
2015-08-29,George Bowerman,1,7,0,0,0
2015-08-29,Michael Rankine,1,29,0,0,0
2015-08-31,Gurjit Singh,1,84,0,0,0
2015-08-31,Reece Styche,1,90,1,0,0
2015-09-05,Sam Corne,1,87,0,0,0
2015-09-15,Gary Jones,1,15,0,0,0
2015-09-15,Michael Phenix,1,20,0,0,0
2015-09-18,Jon-Paul Pittman,1,9,0,0,0
2015-09-22,Sam Hatton,1,5,0,0,0
2015-10-06,Rob Evans,1,17,0,0,0
2015-10-06,Joe Quigley,1,82,0,0,0
2015-10-10,Joe Partington,1,47,0,0,0
2015-10-10,James Constable,1,54,0,0,0
2015-10-13,Andy Haworth,1,37,0,0,0
2015-11-14,Luke Waterfall,1,44,0,0,0
2015-11-21,Danny Boshell,1,24,0,0,0
2015-11-24,Dan Holman,1,27,0,0,0
2015-11-24,John Goddard,1,40,0,0,0
2015-11-24,Dan Holman,2,55,0,0,0
2015-11-24,Joe Quigley,1,73,0,0,0
2015-12-05,Dan Sparkes,1,5,0,0,0
2015-12-05,Simeon Akinola,1,24,0,0,0
2016-01-02,Jack Sampson,1,31,0,0,0
2016-01-09,Jason Walker,1,67,0,1,0
2016-01-09,Simon Grand,1,82,0,0,0
2016-01-09,Andy Cook,1,87,0,0,0
2016-01-30,Shaun Harrad,1,82,0,0,0
2016-02-20,Daniel Wright,1,3,0,0,0
2016-03-05,Danny Johnson,1,68,0,0,0
2016-03-08,James Hurst,1,38,0,0,0
2016-03-08,James Hurst,2,60,0,0,0
2016-03-19,Darren Carter,1,5,0,0,0
2016-03-25,George Maris,1,41,0,0,0
2016-03-25,Robbie McDaid,1,73,0,0,0
2016-04-02,Ian Gayle,1,20,0,0,0
2016-04-02,Kadell Daniel,1,72,0,0,0
2016-04-16,Kayden Jackson,1,15,0,0,0
2016-04-16,Sean Newton,1,85,0,0,0
2016-08-13,Adam Dugdale,1,30,0,0,0
2016-08-20,Alex Flisher,1,61,0,0,0
2016-08-27,Louis Almond,1,62,0,0,0
2016-09-03,Bernard Mensah,1,3,0,0,0
2016-09-03,Scott Rendell,1,79,0,1,0
2016-09-03,Will Evans,1,82,0,0,0
2016-09-10,Macauley Bonne,1,67,0,0,0
