game_date,player_name,min_off,min_on
2023-08-08,Kieron Morris,89,
2023-08-08,Kane Hemmings,,89
2023-08-08,Samuel Taylor,62,
2023-08-08,Josh Hawkes,,62
2023-08-08,Kristian Dennis,57,
2023-08-08,Connor Jennings,,57
2023-08-08,Luke Norris,57,
2023-08-08,Harvey Saunders,,57
